date,SPY wkly close,QQQ wkly close,DIA wkly close,VNQ wkly close,BITO wkly close
10-29-2018,271.89,169.38,252.46,78.04,
11-05-2018,277.76,171.52,260.09,80.6,
11-12-2018,273.73,167.5,254.05,80.79,
11-19-2018,263.25,159.21,242.81,79.98,
11-26-2018,275.65,169.37,255.51,81.98,
12-03-2018,263.57,161.38,244.31,82.12,
12-10-2018,260.47,161.08,241.42,79.65,
12-17-2018,240.7,147.57,224.09,74.39,
12-24-2018,247.75,152.97,230.48,74.37,
12-31-2018,252.39,156.23,234.28,74.32,
01-07-2019,258.98,160.69,239.88,77.75,
01-14-2019,266.46,165.25,247.05,79.43,
01-21-2019,265.78,165.15,247.39,80.46,
01-28-2019,270.06,167.45,250.48,82.88,
02-04-2019,270.47,168.56,251.32,84.12,
02-11-2019,277.37,171.94,258.65,85.09,
02-18-2019,279.14,172.89,260.17,85.12,
02-25-2019,280.42,174.39,260.42,83.73,
03-04-2019,274.46,171.17,254.71,83.86,
03-11-2019,281.31,178.35,258.34,85.76,
03-18-2019,279.25,178.56,254.96,86.22,
03-25-2019,282.48,179.66,259.13,86.91,
04-01-2019,288.57,184.66,264.16,87.84,
04-08-2019,290.16,185.83,264.07,88.05,
04-15-2019,290.02,187.39,265.56,85.49,
04-22-2019,293.41,190.65,265.34,86.8,
04-29-2019,294.03,191.11,264.97,87.67,
05-06-2019,288.1,185.0,259.92,86.86,
05-13-2019,285.84,183.04,257.44,87.86,
05-20-2019,282.78,178.16,256.12,88.06,
05-27-2019,275.27,173.95,248.22,86.89,
06-03-2019,287.65,181.04,260.25,89.02,
06-10-2019,289.26,182.64,261.51,89.7,
06-17-2019,294.0,188.57,267.1,90.23,
06-24-2019,293.0,186.74,265.85,87.4,
07-01-2019,298.46,191.05,269.27,89.62,
07-08-2019,300.65,193.53,273.39,89.46,
07-15-2019,297.17,191.01,271.45,87.43,
07-22-2019,302.01,195.29,271.86,88.29,
07-29-2019,292.62,187.35,264.81,89.32,
08-05-2019,291.62,186.49,263.18,90.85,
08-12-2019,288.85,185.48,258.88,91.18,
08-19-2019,284.85,182.07,256.29,90.7,
08-26-2019,292.45,187.47,264.13,92.22,
09-02-2019,298.05,191.59,268.32,93.45,
09-09-2019,301.09,192.54,272.6,91.64,
09-16-2019,298.28,190.8,269.25,93.45,
09-23-2019,295.4,187.03,267.99,93.09,
09-30-2019,294.35,188.81,265.66,93.43,
10-07-2019,296.28,191.11,268.16,93.03,
10-14-2019,297.97,191.69,267.64,94.53,
10-21-2019,301.6,195.64,269.6,94.13,
10-28-2019,306.14,198.87,273.34,94.28,
11-04-2019,308.94,201.23,277.07,91.09,
11-11-2019,311.79,202.91,279.94,92.64,
11-18-2019,310.96,201.83,278.86,91.55,
11-25-2019,314.31,205.1,280.95,93.07,
12-02-2019,314.87,205.0,280.7,92.87,
12-09-2019,317.32,207.19,282.11,90.35,
12-16-2019,320.73,211.71,284.46,91.57,
12-23-2019,322.86,213.61,286.33,92.04,
12-30-2019,322.41,214.18,286.32,92.27,
01-06-2020,325.71,218.43,288.24,92.28,
01-13-2020,331.95,223.38,293.27,94.72,
01-20-2020,328.77,222.7,289.8,95.45,
01-27-2020,321.73,219.07,282.42,93.93,
02-03-2020,332.2,229.2,291.19,95.57,
02-10-2020,337.6,234.64,294.54,99.56,
02-17-2020,333.48,230.27,289.74,99.57,
02-24-2020,296.26,205.8,254.56,87.33,
03-02-2020,297.46,208.02,258.85,90.67,
03-09-2020,269.32,192.34,232.11,79.48,
03-16-2020,228.8,170.7,191.9,59.68,
03-23-2020,253.42,185.3,216.35,70.05,
03-30-2020,248.19,183.37,210.6,64.53,
04-06-2020,278.2,200.86,237.14,78.91,
04-13-2020,286.64,215.29,242.43,76.11,
04-20-2020,282.97,213.84,237.83,72.75,
04-27-2020,282.79,212.74,237.28,73.54,
05-04-2020,292.44,224.86,243.62,74.99,
05-11-2020,286.28,223.27,236.91,68.8,
05-18-2020,295.44,229.66,244.88,73.57,
05-25-2020,304.32,233.36,254.29,77.43,
06-01-2020,319.34,239.69,271.54,84.69,
06-08-2020,304.21,235.88,256.74,80.63,
06-15-2020,308.64,244.24,258.8,80.09,
06-22-2020,300.05,240.22,250.38,76.14,
06-29-2020,312.23,252.19,258.42,80.11,
07-06-2020,317.59,263.97,260.82,78.12,
07-13-2020,321.72,259.42,266.74,78.67,
07-20-2020,320.88,255.56,264.69,78.2,
07-27-2020,326.52,265.79,264.35,81.39,
08-03-2020,334.57,271.47,274.62,82.39,
08-10-2020,336.84,272.16,279.8,81.15,
08-17-2020,339.48,281.87,279.29,80.88,
08-24-2020,350.58,292.53,286.7,82.59,
08-31-2020,342.57,283.58,281.77,81.9,
09-07-2020,334.06,270.45,277.09,80.25,
09-14-2020,330.65,266.87,276.52,80.16,
09-21-2020,328.73,271.56,271.7,77.7,
09-28-2020,333.84,274.31,276.8,81.93,
10-05-2020,346.85,285.71,285.93,83.02,
10-12-2020,347.29,288.51,285.97,80.82,
10-19-2020,345.78,284.74,283.34,80.36,
10-26-2020,326.54,269.38,265.06,76.59,
11-02-2020,350.16,294.61,283.22,79.9,
11-09-2020,358.1,290.93,295.15,85.38,
11-16-2020,355.33,290.38,292.53,84.61,
11-23-2020,363.67,299.01,299.24,84.89,
11-30-2020,369.85,305.52,302.59,86.42,
12-07-2020,366.3,301.85,300.93,84.39,
12-14-2020,369.18,310.06,301.9,84.93,
12-21-2020,369.0,309.56,302.02,83.88,
12-28-2020,373.88,313.74,305.79,84.93,
01-04-2021,381.26,319.03,311.04,83.07,
01-11-2021,375.7,311.86,308.12,84.61,
01-18-2021,382.88,325.42,309.97,85.77,
01-25-2021,370.07,314.56,299.81,84.96,
02-01-2021,387.71,331.36,311.54,88.11,
02-08-2021,392.64,336.45,315.04,89.59,
02-15-2021,390.03,331.02,314.92,88.92,
02-22-2021,380.36,314.14,309.45,87.87,
03-01-2021,383.63,308.68,315.24,86.86,
03-08-2021,394.06,315.46,328.31,91.62,
03-15-2021,389.48,313.14,326.01,90.49,
03-22-2021,395.98,316.0,330.61,92.84,
03-29-2021,400.61,324.57,331.45,93.53,
